Report Number,Occur Date,UCR Literal,Latitude,Longitude,Month,Year,Zipcode
193640561,12/29/2019,LARCENY-FROM VEHICLE,33.7108,-84.52832,12,2019,30331
193640592,12/29/2019,LARCENY-FROM VEHICLE,33.65806,-84.51051,12,2019,30349
193640698,12/21/2019,LARCENY-FROM VEHICLE,33.818059999999996,-84.35082,12,2019,30324
193640842,12/29/2019,LARCENY-FROM VEHICLE,33.766490000000005,-84.32341,12,2019,30307
193640931,12/30/2019,LARCENY-FROM VEHICLE,33.80656,-84.36740999999999,12,2019,30324
193640937,12/29/2019,LARCENY-FROM VEHICLE,33.75034,-84.36044,12,2019,30312
193640946,12/30/2019,LARCENY-FROM VEHICLE,33.778890000000004,-84.3828,12,2019,30308
193640948,12/29/2019,LARCENY-FROM VEHICLE,33.789840000000005,-84.3566,12,2019,30306
193641004,12/29/2019,LARCENY-FROM VEHICLE,33.71691,-84.39276,12,2019,30315
193641058,12/29/2019,LARCENY-FROM VEHICLE,33.78222,-84.36825,12,2019,30308
193641080,12/28/2019,LARCENY-FROM VEHICLE,33.83665,-84.38149,12,2019,30305
193641081,12/30/2019,LARCENY-FROM VEHICLE,33.704159999999995,-84.54044,12,2019,30331
193641151,12/30/2019,LARCENY-FROM VEHICLE,33.81,-84.39583,12,2019,30309
193641229,12/30/2019,LARCENY-FROM VEHICLE,33.736990000000006,-84.39438,12,2019,30312
193641272,12/23/2019,LARCENY-FROM VEHICLE,33.70016,-84.41413,12,2019,30315
193641559,12/30/2019,LARCENY-FROM VEHICLE,33.806999999999995,-84.41767,12,2019,30363
193641733,12/30/2019,LARCENY-FROM VEHICLE,33.71107,-84.44411,12,2019,30310
193641739,12/30/2019,LARCENY-FROM VEHICLE,33.76665,-84.39611,12,2019,30313
193641893,12/30/2019,LARCENY-FROM VEHICLE,33.78285,-84.41126,12,2019,30363
193641928,12/30/2019,LARCENY-FROM VEHICLE,33.81022,-84.41346999999999,12,2019,30363
193641971,12/30/2019,LARCENY-FROM VEHICLE,33.848620000000004,-84.42869,12,2019,30327
193641982,12/30/2019,LARCENY-FROM VEHICLE,33.765,-84.33395,12,2019,30307
193641995,12/30/2019,LARCENY-FROM VEHICLE,33.78593,-84.40086,12,2019,30363
193642031,12/30/2019,LARCENY-FROM VEHICLE,33.7722,-84.35503,12,2019,30307
193642040,12/30/2019,LARCENY-FROM VEHICLE,33.85865,-84.38101999999999,12,2019,30305
193642078,12/30/2019,LARCENY-FROM VEHICLE,33.78297,-84.35435,12,2019,30306
193642081,12/30/2019,LARCENY-FROM VEHICLE,33.78978,-84.42557,12,2019,30318
193642138,12/30/2019,LARCENY-FROM VEHICLE,33.7622,-84.35152,12,2019,30307
193642167,12/30/2019,LARCENY-FROM VEHICLE,33.75204,-84.36343000000001,12,2019,30312
193642004,12/23/2019,LARCENY-FROM VEHICLE,33.75281,-84.5092,12,2019,30311
193640510,12/20/2019,BURGLARY-RESIDENCE,33.7556,-84.45837,12,2019,30314
193640588,12/26/2019,BURGLARY-RESIDENCE,33.72965,-84.41143000000001,12,2019,30310
193641141,12/28/2019,BURGLARY-RESIDENCE,33.749359999999996,-84.43508,12,2019,30314
193641263,12/30/2019,BURGLARY-RESIDENCE,33.77578,-84.46291,12,2019,30318
193641336,12/22/2019,BURGLARY-RESIDENCE,33.75387,-84.4255,12,2019,30314
193641396,12/30/2019,BURGLARY-RESIDENCE,33.70382,-84.46637,12,2019,30311
193641770,12/22/2019,BURGLARY-RESIDENCE,33.78152,-84.37736,12,2019,30308
193641815,12/30/2019,BURGLARY-RESIDENCE,33.70835,-84.35925999999999,12,2019,30315
193642172,12/30/2019,BURGLARY-RESIDENCE,33.72762,-84.33336,12,2019,30316
193631866,12/29/2019,BURGLARY-RESIDENCE,33.74511,-84.50433000000001,12,2019,30311
193640490,12/28/2019,BURGLARY-NONRES,33.75462,-84.41605,12,2019,30314
193640564,12/27/2019,BURGLARY-NONRES,33.67249,-84.494,12,2019,30344
193640659,12/30/2019,BURGLARY-NONRES,33.76145,-84.3729,12,2019,30308
193640768,12/27/2019,BURGLARY-NONRES,33.66178,-84.38419,12,2019,30354
193641068,12/29/2019,BURGLARY-NONRES,33.78588,-84.38448000000001,12,2019,30363
193642178,12/30/2019,BURGLARY-NONRES,33.76378,-84.42565,12,2019,30314
193641291,12/30/2019,BURGLARY-RESIDENCE,33.765409999999996,-84.39358,12,2019,30313
193641574,12/27/2019,BURGLARY-RESIDENCE,33.7106,-84.35628,12,2019,30315
193642193,12/15/2019,AUTO THEFT,33.80077,-84.40869,12,2019,30363
193640516,12/30/2019,AUTO THEFT,33.76133,-84.34833,12,2019,30307
193640650,12/28/2019,AUTO THEFT,33.78859,-84.42401,12,2019,30318
193640752,12/29/2019,AUTO THEFT,33.71771,-84.52315,12,2019,30331
193640970,12/30/2019,AUTO THEFT,33.75431,-84.4793,12,2019,30311
193640982,12/23/2019,AUTO THEFT,33.69785,-84.41832,12,2019,30344
193641189,12/30/2019,AUTO THEFT,33.87441,-84.3808,12,2019,30342
193641246,12/30/2019,AUTO THEFT,33.742290000000004,-84.38686,12,2019,30312
193641767,12/30/2019,AUTO THEFT,33.72032,-84.37631999999999,12,2019,30312
193640345,12/30/2019,HOMICIDE,33.72801,-84.39072,12,2019,30312
193642110,12/30/2019,ROBBERY-PEDESTRIAN,33.775459999999995,-84.36345,12,2019,30308
193640075,12/30/2019,ROBBERY-PEDESTRIAN,33.756640000000004,-84.50022,12,2019,30311
193640285,12/30/2019,ROBBERY-PEDESTRIAN,33.763009999999994,-84.4847,12,2019,30311
193640875,12/28/2019,LARCENY-NON VEHICLE,33.72592,-84.42454000000001,12,2019,30310
193641024,12/28/2019,LARCENY-NON VEHICLE,33.83937,-84.37503000000001,12,2019,30305
193641085,12/27/2019,LARCENY-NON VEHICLE,33.65088,-84.36362,12,2019,30354
193641369,12/5/2019,LARCENY-NON VEHICLE,33.792159999999996,-84.36886,12,2019,30306
193641444,12/27/2019,LARCENY-NON VEHICLE,33.75933,-84.50433000000001,12,2019,30311
193641702,12/28/2019,LARCENY-NON VEHICLE,33.778929999999995,-84.37816,12,2019,30308
193641772,12/30/2019,LARCENY-NON VEHICLE,33.76846,-84.37813,12,2019,30308
193641784,12/30/2019,LARCENY-NON VEHICLE,33.727340000000005,-84.49684,12,2019,30311
193641805,12/30/2019,LARCENY-NON VEHICLE,33.74528,-84.31676,12,2019,30317
193642201,12/30/2019,LARCENY-NON VEHICLE,33.70655,-84.3633,12,2019,30315
193640737,12/30/2019,LARCENY-NON VEHICLE,33.823859999999996,-84.36348000000001,12,2019,30324
